,Date,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
44,2024-07-25,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
45,2024-07-26,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
46,2024-07-27,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
47,2024-07-28,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
48,2024-07-29,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
49,2024-07-30,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
50,2024-07-31,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
51,2024-08-01,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
52,2024-08-02,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
53,2024-08-03,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
54,2024-08-04,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
55,2024-08-05,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
56,2024-08-06,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
57,2024-08-07,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
58,2024-08-08,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
59,2024-08-09,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
60,2024-08-10,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
61,2024-08-11,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
62,2024-08-12,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
63,2024-08-13,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
64,2024-08-14,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
65,2024-08-15,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
66,2024-08-16,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
67,2024-08-17,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
68,2024-08-18,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
69,2024-08-19,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
70,2024-08-20,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
71,2024-08-21,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
72,2024-08-22,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
73,2024-08-23,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
74,2024-08-24,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
75,2024-08-25,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
76,2024-08-26,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
77,2024-08-27,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
78,2024-08-28,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
79,2024-08-29,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
80,2024-08-30,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
81,2024-08-31,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
82,2024-09-01,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
83,2024-09-02,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
84,2024-09-03,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
85,2024-09-04,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
86,2024-09-05,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
87,2024-09-06,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
88,2024-09-07,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
89,2024-09-08,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
